Country,Outside Dry-Bulb Temperature,Outside Dew-Point Temperature,Direct Normal Solar,Diffuse Horizontal Solar,Wind Speed,Wind Direction,Atmospheric Pressure,RES
NB - CHARLO A,20.3375,16.61667,4.938,1.831,1.725,88.33334,100757.1,4
NT - DELINE CS,15.825,7.820833,10.106,2.151,4.983333,147.2083,99257.91,4
NV - DESERT ROCK,29.575,9.304167,10.238,1.434,2.6375,102.9167,90254.16,3
OH - CLEVELAND,22.6875,14.19583,6.038,2.568,3.633333,239.1667,98787.5,3
OK - FREDERICK MUNI,23.925,16.83333,2.043,3.231,2.858333,82.91666,96966.66,3
OR - EUGENE MAHLON SWEET,20.87917,11.5125,9.099,1.559,4.395833,194.5833,100595.8,3
OSLO GARDERMOEN,18.54167,7.783333,6.626,2.326,1.933333,183.75,101654.2,3
OSTROV KOTELNYJ,22.96667,13.20833,6.998,2.094,3.041667,105,99795.84,2
PA - ALTOONA BLAIR CO,18.95417,16.7125,0.071,1.841,1.883333,115,96929.16,3
PORQUEROLLES,24.95,17.75417,8.182,1.57,3.529166,191.6667,101237.5,3
PRZEMYSL,16.55833,12.44167,0.269,2.671,2.916667,275,98006,3
PUDINO,17.675,11.62083,3.488,3.395,2.75,303.3333,99175,3
QC - PARENT,23.18333,16.17917,3.007,3.3,5.591667,218.3333,98873.34,3
RZESZOW-JASIONKA,14.1,13.40833,0.439,2.31,2.375,263.3333,98934,1
SALALAH,37.7,17.47083,7.041,1.817,4.6375,143.3333,99645.84,4
SANLIURFA,26.20417,12.12083,8.318,1.636,2.854167,200.8333,93408.34,5
SHIRAZ,26.49167,7.92E-02,2.835,4.91,2.475,133.0833,84150,3
TABRIZ,24.475,10.68333,3.401,3.695,6.016667,46.04167,85712.5,3
TARKO-SALE,17.675,11.62083,3.488,3.395,2.75,303.3333,99175,2
TN - MILLINGTON MUNI ARP,25.2375,21.425,0.139,2.602,2.866667,128.75,100516.7,3
TX - KIMBLE CO,29.75,13.6375,7.155,1.996,3.595833,158.75,94795.84,3
TX - LAREDO INTL AIRPORT,31.98333,16.26667,5.958,2.125,4.95,129.5833,99438.75,3
ULAANBAATAR,16.8375,10.99583,4.933,2.438,3.408333,53.33333,85975,2
USUGLI,21.1375,16.27917,7.731,2.006,0.625,90,92875,3
UT - MILFORD MUNI BRISCOE,23.74167,3.466667,10.513,1.063,8.641666,194.5833,82662.5,3
VA - DINWIDDIE CO,23.625,22.54167,0.254,2.389,3.641667,25,100600,3
VAN,24.475,10.68333,3.401,3.695,6.016667,46.04167,85712.5,3
VANZIL-KYNAK,17.675,11.62083,3.488,3.395,2.75,303.3333,99175,5
VERHNEE PENZINO,7.225,5.945833,0.268,2.171,1.395833,170,101200,1
VILA REAL,18.20417,15.8,0.036,2.301,3.1625,267.5,100683.3,3
VT - MORRISVILLE STOWE ST,21.4375,12.84167,5.477,2.573,2.620833,113.3333,97600,3
WARSZAWA-OKECIE,12.0875,10.8,0.327,2.865,5.270833,273.3333,99625,3
WI - CHIPPEWA VALLEY RGN,22.4625,16.97083,5.362,2.741,2.233333,215,97804.16,3
WI - JOHN H BATTEN,22.0875,15.82917,0.568,3.036,4.041667,182.9167,99058.34,2
WV - MID OHIO VALLEY RGN,20.775,18.9,0.341,2.611,2.308333,126.6667,98295.84,3
WY - SHERIDAN CO. ARPT,22.2375,9.366667,7.103,2.205,4.991667,300.4167,88416.66,3
WY - SOUTH BIG HORN CO,21.69167,7.670833,10.634,1.286,2.3041671,127.0833,87323.16,5
WY - WORLAND MUNI,21.69167,7.670833,10.634,1.286,2.304167,127.0833,87329.16,4
YAZD,31.25417,-0.35,4.82,4.31,2.35,211,86958.34,4
ZAKOPANE,15.40417,9.733334,3.706,3.335,1.583333,203.3333,91444,4
ZHIGANSK,22.96667,13.20833,6.998,2.094,3.041667,105,99795.84,3
